Subject,Start Date,Start Time,End Date,End Time,Description,Location
-PED149 for,2015-01-07,10:15,2015-01-07,12:00,Sæbø Grethe Ingebrigtsvold, Tanggaard Tor,CK B3 001 aud
-PED149 sem,2015-01-07,12:15,2015-01-07,15:00,Sæbø Grethe Ingebrigtsvold, Tanggaard Tor,CK F1 022 sem, CK F1 023 sem
-PED149 gr,2015-01-07,15:15,2015-01-07,16:00,Sæbø Grethe Ingebrigtsvold, Tanggaard Tor,CK F2 017, CK F2 018, CK F2 021, CK F2 022, CK F2 023, CK F2 012, CK F2 019, CK F2 016
-PED149 for,2015-01-14,10:15,2015-01-14,12:00,Sæbø Grethe Ingebrigtsvold, Tanggaard Tor,CK B3 001 aud
-PED149 sem,2015-01-14,12:15,2015-01-14,15:00,Sæbø Grethe Ingebrigtsvold, Tanggaard Tor,CK F1 022 sem, CK F1 023 sem
-PED149 gr,2015-01-14,15:15,2015-01-14,16:00,Sæbø Grethe Ingebrigtsvold, Tanggaard Tor,CK F2 017, CK F2 018, CK F2 021, CK F2 022, CK F2 023, CK F2 012, CK F2 019, CK F2 016
-PED150 for,2015-01-20,12:15,2015-01-20,14:00,Hillen Stefanie Andrea, Willbergh Ilmi,CK B3 001 aud
-PED150 sem,2015-01-20,14:15,2015-01-20,16:00,Hillen Stefanie Andrea, Willbergh Ilmi,CK B2 006 aud , CK B3 001 aud
-PED149 for,2015-01-21,10:15,2015-01-21,12:00,Sæbø Grethe Ingebrigtsvold, Tanggaard Tor,CK B3 001 aud
-PED149 sem,2015-01-21,12:15,2015-01-21,15:00,Sæbø Grethe Ingebrigtsvold, Tanggaard Tor,CK F1 022 sem, CK F1 023 sem
-PED149 gr,2015-01-21,15:15,2015-01-21,16:00,Sæbø Grethe Ingebrigtsvold, Tanggaard Tor,CK F2 017, CK F2 018, CK F2 021, CK F2 022, CK F2 023, CK F2 012, CK F2 019, CK F2 016
-PED150 for,2015-01-27,12:15,2015-01-27,14:00,Hillen Stefanie Andrea, Willbergh Ilmi,CK B3 001 aud
-PED150 sem,2015-01-27,14:15,2015-01-27,16:00,Hillen Stefanie Andrea, Willbergh Ilmi,CK B2 006 aud , CK B3 001 aud
-PED149 for,2015-01-28,10:15,2015-01-28,12:00,Sæbø Grethe Ingebrigtsvold, Tanggaard Tor,CK B3 001 aud
-PED149 sem,2015-01-28,12:15,2015-01-28,15:00,Sæbø Grethe Ingebrigtsvold, Tanggaard Tor,CK F1 022 sem, CK F1 023 sem
-PED149 gr,2015-01-28,15:15,2015-01-28,16:00,Sæbø Grethe Ingebrigtsvold, Tanggaard Tor,CK F2 017, CK F2 018, CK F2 021, CK F2 022, CK F2 023, CK F2 012, CK F2 019, CK F2 016
-PED150 for,2015-02-03,12:15,2015-02-03,14:00,Hillen Stefanie Andrea, Willbergh Ilmi,CK B3 001 aud
-PED150 sem,2015-02-03,14:15,2015-02-03,16:00,Hillen Stefanie Andrea, Willbergh Ilmi,CK B2 006 aud , CK B3 001 aud
-PED149 for,2015-02-04,10:15,2015-02-04,12:00,Sæbø Grethe Ingebrigtsvold, Tanggaard Tor,CK B3 001 aud
-PED149 sem,2015-02-04,12:15,2015-02-04,15:00,Sæbø Grethe Ingebrigtsvold, Tanggaard Tor,CK F1 022 sem, CK F1 023 sem
-PED149 gr,2015-02-04,15:15,2015-02-04,16:00,Sæbø Grethe Ingebrigtsvold, Tanggaard Tor,CK F2 017, CK F2 018, CK F2 021, CK F2 022, CK F2 023, CK F2 012, CK F2 019, CK F2 016
-PED150 for,2015-02-10,12:15,2015-02-10,14:00,Hillen Stefanie Andrea, Willbergh Ilmi,CK B3 001 aud
-PED150 sem,2015-02-10,14:15,2015-02-10,16:00,Hillen Stefanie Andrea, Willbergh Ilmi,CK B2 006 aud , CK B3 001 aud
-PED149 for,2015-02-11,10:15,2015-02-11,12:00,Sæbø Grethe Ingebrigtsvold, Tanggaard Tor,CK B3 001 aud
-PED149 sem,2015-02-11,12:15,2015-02-11,15:00,Sæbø Grethe Ingebrigtsvold, Tanggaard Tor,CK F1 022 sem, CK F1 023 sem
-PED149 gr,2015-02-11,15:15,2015-02-11,16:00,Sæbø Grethe Ingebrigtsvold, Tanggaard Tor,CK F2 017, CK F2 018, CK F2 021, CK F2 022, CK F2 023, CK F2 012, CK F2 019, CK F2 016
-PED150 for,2015-02-17,12:15,2015-02-17,14:00,Hillen Stefanie Andrea, Willbergh Ilmi,CK B3 001 aud
-PED150 sem,2015-02-17,14:15,2015-02-17,16:00,Hillen Stefanie Andrea, Willbergh Ilmi,CK B2 006 aud , CK B3 001 aud
-PED149 for,2015-02-18,10:15,2015-02-18,12:00,Sæbø Grethe Ingebrigtsvold, Tanggaard Tor,CK B3 001 aud
-PED149 sem,2015-02-18,12:15,2015-02-18,15:00,Sæbø Grethe Ingebrigtsvold, Tanggaard Tor,CK F1 022 sem, CK F1 023 sem
-PED149 gr,2015-02-18,15:15,2015-02-18,16:00,Sæbø Grethe Ingebrigtsvold, Tanggaard Tor,CK F2 017, CK F2 018, CK F2 021, CK F2 022, CK F2 023, CK F2 012, CK F2 019, CK F2 016
-PED150 for,2015-02-24,12:15,2015-02-24,14:00,Hillen Stefanie Andrea, Willbergh Ilmi,CK B3 001 aud
