Subject,Start Date,Start Time,End Date,End Time,Description,Location
VER305-G 06.01,2015-01-06,08:15,2015-01-06,12:00,Haugland, Siri ,CG-A2 021 klasserom
VER305-G 06.01 pclab,2015-01-06,12:15,2015-01-06,14:00,Haugland, Siri ,CG-A2 055 PC-lab
VER305-G 07.01 ,2015-01-07,08:15,2015-01-07,12:00,Haugland, Siri ,CG-A3 041 klasserom m/amfi (50)
VER305-G 08.01 ,2015-01-08,08:15,2015-01-08,12:00,Haugland, Siri ,CG-A3 027 klasserom (40) VER
VER305-G 09.01 ,2015-01-09,08:15,2015-01-09,12:00,Haugland, Siri ,CG-A3 027 klasserom (40) VER
VER305-G 12.01 ,2015-01-12,08:15,2015-01-12,10:00,Haugland, Siri ,CG-A3 027 klasserom (40) VER
VER305-G 15.01 ,2015-01-15,12:15,2015-01-15,16:00,Haugland, Siri ,CG-A3 027 klasserom (40) VER
VER305-G 16.01 ,2015-01-16,09:15,2015-01-16,13:00,Haugland, Siri ,CG-A2 084 auditorium
VER305-G 16.01 pclab,2015-01-16,13:15,2015-01-16,15:00,Haugland, Siri ,CG-A2 055 PC-lab
VER305-G 06.02,2015-02-06,13:15,2015-02-06,15:00,Haugland, Siri ,CG-A2 055 PC-lab
VER305-G 17.03,2015-03-17,12:15,2015-03-17,14:00,Haugland, Siri ,CG-A3 027 klasserom (40) VER
VER305-G 08.04,2015-04-08,08:15,2015-04-08,16:00,Haugland, Siri ,CG-A3 025 klasserom (40) VER
