Subject,Start Date,Start Time,End Date,End Time,Description,Location
-KOM109 for,2015-01-06,10:15,2015-01-06,12:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK B3 007 aud 
-KOM109 lab 1,2015-01-06,12:15,2015-01-06,14:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 2,2015-01-06,14:15,2015-01-06,16:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM112 for,2015-01-07,10:15,2015-01-07,12:00,Birkeland Nils Rune, Rambø Gro-Renee,CK B2 004 aud 
-KOM112 gr,2015-01-07,12:15,2015-01-07,14:00,Birkeland Nils Rune, Rambø Gro-Renee,CK 50 110, CK 50 114a, CK 50 114b, CK 50 115a, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116c, CK 50 116d
-KOM109 lab 3,2015-01-08,09:15,2015-01-08,11:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 4,2015-01-08,12:15,2015-01-08,14:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 5,2015-01-08,14:15,2015-01-08,16:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 for,2015-01-13,10:15,2015-01-13,12:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK B3 007 aud 
-KOM109 lab 1,2015-01-13,12:15,2015-01-13,14:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 2,2015-01-13,14:15,2015-01-13,16:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM112 for,2015-01-14,10:15,2015-01-14,12:00,Birkeland Nils Rune, Rambø Gro-Renee,CK B2 004 aud 
-KOM112 gr,2015-01-14,12:15,2015-01-14,14:00,Birkeland Nils Rune, Rambø Gro-Renee,CK 50 110, CK 50 114a, CK 50 114b, CK 50 115a, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116c, CK 50 116d
-KOM109 lab 3,2015-01-15,09:15,2015-01-15,11:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 4,2015-01-15,12:15,2015-01-15,14:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 5,2015-01-15,14:15,2015-01-15,16:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 for,2015-01-20,10:15,2015-01-20,12:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK B3 007 aud 
-KOM109 lab 1,2015-01-20,12:15,2015-01-20,14:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 for uke 4,2015-01-20,13:15,2015-01-20,14:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK B3 007 aud 
-KOM109 lab 2,2015-01-20,14:15,2015-01-20,16:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM112 for,2015-01-21,10:15,2015-01-21,12:00,Birkeland Nils Rune, Rambø Gro-Renee,CK B2 004 aud 
-KOM112 gr,2015-01-21,12:15,2015-01-21,14:00,Birkeland Nils Rune, Rambø Gro-Renee,CK 50 110, CK 50 114a, CK 50 114b, CK 50 115a, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116c, CK 50 116d
-KOM109 lab 3,2015-01-22,09:15,2015-01-22,11:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 4,2015-01-22,12:15,2015-01-22,14:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 5,2015-01-22,14:15,2015-01-22,16:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 for,2015-01-27,10:15,2015-01-27,12:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK B3 007 aud 
-KOM109 lab 1,2015-01-27,12:15,2015-01-27,14:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 2,2015-01-27,14:15,2015-01-27,16:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM112 for,2015-01-28,10:15,2015-01-28,12:00,Birkeland Nils Rune, Rambø Gro-Renee,CK B2 004 aud 
-KOM112 gr,2015-01-28,12:15,2015-01-28,14:00,Birkeland Nils Rune, Rambø Gro-Renee,CK 50 110, CK 50 114a, CK 50 114b, CK 50 115a, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116c, CK 50 116d
-KOM109 lab 3,2015-01-29,09:15,2015-01-29,11:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 4,2015-01-29,12:15,2015-01-29,14:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 5,2015-01-29,14:15,2015-01-29,16:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 for,2015-02-03,10:15,2015-02-03,12:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK B3 007 aud 
-KOM109 lab 1,2015-02-03,12:15,2015-02-03,14:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 2,2015-02-03,14:15,2015-02-03,16:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM112 for,2015-02-04,10:15,2015-02-04,12:00,Birkeland Nils Rune, Rambø Gro-Renee,CK B2 004 aud 
-KOM112 gr,2015-02-04,12:15,2015-02-04,14:00,Birkeland Nils Rune, Rambø Gro-Renee,CK 50 110, CK 50 114a, CK 50 114b, CK 50 115a, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116c, CK 50 116d
-KOM109 lab 3,2015-02-05,09:15,2015-02-05,11:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 4,2015-02-05,12:15,2015-02-05,14:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 5,2015-02-05,14:15,2015-02-05,16:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 for,2015-02-10,10:15,2015-02-10,12:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK B3 007 aud 
-KOM109 lab 1,2015-02-10,12:15,2015-02-10,14:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 2,2015-02-10,14:15,2015-02-10,16:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM112 for,2015-02-11,10:15,2015-02-11,12:00,Birkeland Nils Rune, Rambø Gro-Renee,CK B2 004 aud 
-KOM112 gr,2015-02-11,12:15,2015-02-11,14:00,Birkeland Nils Rune, Rambø Gro-Renee,CK 50 110, CK 50 114a, CK 50 114b, CK 50 115a, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116c, CK 50 116d
-KOM109 lab 3,2015-02-12,09:15,2015-02-12,11:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 4,2015-02-12,12:15,2015-02-12,14:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
