Subject,Start Date,Start Time,End Date,End Time,Description,Location
MAS402/Forel/01,2015-01-05,08:15,2015-01-05,12:00,Hansen Michael R.,CG-A2 021 klasserom
MAS402/Øv/01,2015-01-05,12:15,2015-01-05,16:00,Hansen Michael R.,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS403/Forel/01,2015-01-06,08:15,2015-01-06,10:00,Ebbesen, Morten,CG-D3 053 klasserom (30)
MAS403/Øv/01 uke 02-09,2015-01-06,10:15,2015-01-06,12:00,Ebbesen, Morten,CG-D2 024 lab mekatronikk/el.kraft (32)
MA-417/Forel/01,2015-01-06,12:15,2015-01-06,14:00,Rogovchenko Svitlana,CG-A2 123 klasserom (fjernunderv.)
MA-417/Øv/01,2015-01-06,14:15,2015-01-06,16:00,Rogovchenko Svitlana,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Forel/01,2015-01-08,08:15,2015-01-08,12:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Øv/01,2015-01-08,12:15,2015-01-08,16:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS401/Forel/01,2015-01-12,09:15,2015-01-12,17:00,Midtgård Ole-Morten,CG-A2 021 klasserom
MAS403/Forel/01,2015-01-13,08:15,2015-01-13,10:00,Ebbesen, Morten,CG-D3 053 klasserom (30)
MAS403/Øv/01 uke 02-09,2015-01-13,10:15,2015-01-13,12:00,Ebbesen, Morten,CG-D2 024 lab mekatronikk/el.kraft (32)
MA-417/Forel/01,2015-01-13,12:15,2015-01-13,14:00,Rogovchenko Svitlana,CG-A2 123 klasserom (fjernunderv.)
MA-417/Øv/01,2015-01-13,14:15,2015-01-13,16:00,Rogovchenko Svitlana,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Forel/01,2015-01-15,08:15,2015-01-15,12:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Øv/01,2015-01-15,12:15,2015-01-15,16:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS402/Forel/01,2015-01-19,08:15,2015-01-19,12:00,Hansen Michael R.,CG-A2 021 klasserom
MAS402/Øv/01,2015-01-19,12:15,2015-01-19,16:00,Hansen Michael R.,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS403/Forel/01,2015-01-20,08:15,2015-01-20,10:00,Ebbesen, Morten,CG-D3 053 klasserom (30)
MAS403/Øv/01 uke 02-09,2015-01-20,10:15,2015-01-20,12:00,Ebbesen, Morten,CG-D2 024 lab mekatronikk/el.kraft (32)
MA-417/Forel/01,2015-01-20,12:15,2015-01-20,14:00,Rogovchenko Svitlana,CG-A2 123 klasserom (fjernunderv.)
MA-417/Øv/01,2015-01-20,14:15,2015-01-20,16:00,Rogovchenko Svitlana,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Forel/01,2015-01-22,08:15,2015-01-22,12:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Øv/01,2015-01-22,12:15,2015-01-22,16:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS401/Forel/01,2015-01-26,09:15,2015-01-26,17:00,Midtgård Ole-Morten,CG-A2 021 klasserom
MAS403/Forel/01,2015-01-27,08:15,2015-01-27,10:00,Ebbesen, Morten,CG-D3 053 klasserom (30)
MAS403/Øv/01 uke 02-09,2015-01-27,10:15,2015-01-27,12:00,Ebbesen, Morten,CG-D2 024 lab mekatronikk/el.kraft (32)
MA-417/Forel/01,2015-01-27,12:15,2015-01-27,14:00,Rogovchenko Svitlana,CG-A2 123 klasserom (fjernunderv.)
MA-417/Øv/01,2015-01-27,14:15,2015-01-27,16:00,Rogovchenko Svitlana,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Forel/01,2015-01-29,08:15,2015-01-29,12:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Øv/01,2015-01-29,12:15,2015-01-29,16:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS402/Forel/01,2015-02-02,08:15,2015-02-02,12:00,Hansen Michael R.,CG-A2 021 klasserom
MAS402/Øv/01,2015-02-02,12:15,2015-02-02,16:00,Hansen Michael R.,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS403/Forel/01,2015-02-03,08:15,2015-02-03,10:00,Ebbesen, Morten,CG-D3 053 klasserom (30)
MAS403/Øv/01 uke 02-09,2015-02-03,10:15,2015-02-03,12:00,Ebbesen, Morten,CG-D2 024 lab mekatronikk/el.kraft (32)
MA-417/Forel/01,2015-02-03,12:15,2015-02-03,14:00,Rogovchenko Svitlana,CG-A2 123 klasserom (fjernunderv.)
MA-417/Øv/01,2015-02-03,14:15,2015-02-03,16:00,Rogovchenko Svitlana,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Forel/01,2015-02-05,08:15,2015-02-05,12:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Øv/01,2015-02-05,12:15,2015-02-05,16:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS401/Forel/01,2015-02-09,09:15,2015-02-09,17:00,Midtgård Ole-Morten,CG-A2 021 klasserom
MAS403/Forel/01,2015-02-10,08:15,2015-02-10,10:00,Ebbesen, Morten,CG-D3 053 klasserom (30)
MAS403/Øv/01 uke 02-09,2015-02-10,10:15,2015-02-10,12:00,Ebbesen, Morten,CG-D2 024 lab mekatronikk/el.kraft (32)
MA-417/Forel/01,2015-02-10,12:15,2015-02-10,14:00,Rogovchenko Svitlana,CG-A2 123 klasserom (fjernunderv.)
MA-417/Øv/01,2015-02-10,14:15,2015-02-10,16:00,Rogovchenko Svitlana,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Forel/01,2015-02-12,08:15,2015-02-12,12:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Øv/01,2015-02-12,12:15,2015-02-12,16:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS402/Forel/01,2015-02-16,08:15,2015-02-16,12:00,Hansen Michael R.,CG-A2 021 klasserom
MAS402/Øv/01,2015-02-16,12:15,2015-02-16,16:00,Hansen Michael R.,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS403/Forel/01,2015-02-17,08:15,2015-02-17,10:00,Ebbesen, Morten,CG-D3 053 klasserom (30)
MAS403/Øv/01 uke 02-09,2015-02-17,10:15,2015-02-17,12:00,Ebbesen, Morten,CG-D2 024 lab mekatronikk/el.kraft (32)
MA-417/Forel/01,2015-02-17,12:15,2015-02-17,14:00,Rogovchenko Svitlana,CG-A2 123 klasserom (fjernunderv.)
MA-417/Øv/01,2015-02-17,14:15,2015-02-17,16:00,Rogovchenko Svitlana,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Forel/01,2015-02-19,08:15,2015-02-19,12:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Øv/01,2015-02-19,12:15,2015-02-19,16:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS401/Forel/01,2015-02-23,09:15,2015-02-23,17:00,Midtgård Ole-Morten,CG-A2 021 klasserom
MAS403/Forel/01,2015-02-24,08:15,2015-02-24,10:00,Ebbesen, Morten,CG-D3 053 klasserom (30)
MAS403/Øv/01 uke 02-09,2015-02-24,10:15,2015-02-24,12:00,Ebbesen, Morten,CG-D2 024 lab mekatronikk/el.kraft (32)
MA-417/Forel/01,2015-02-24,12:15,2015-02-24,14:00,Rogovchenko Svitlana,CG-A2 123 klasserom (fjernunderv.)
MA-417/Øv/01,2015-02-24,14:15,2015-02-24,16:00,Rogovchenko Svitlana,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Forel/01,2015-02-26,08:15,2015-02-26,12:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Øv/01,2015-02-26,12:15,2015-02-26,16:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS402/Forel/01,2015-03-02,08:15,2015-03-02,12:00,Hansen Michael R.,CG-A2 021 klasserom
MAS402/Øv/01,2015-03-02,12:15,2015-03-02,16:00,Hansen Michael R.,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS403/Øv/01 uke 10-19 prosjekt,2015-03-03,08:15,2015-03-03,12:00,Ebbesen, Morten,CG-D2 024 lab mekatronikk/el.kraft (32)
MA-417/Forel/01,2015-03-03,12:15,2015-03-03,14:00,Rogovchenko Svitlana,CG-A2 123 klasserom (fjernunderv.)
MA-417/Øv/01,2015-03-03,14:15,2015-03-03,16:00,Rogovchenko Svitlana,CG-D2 024 lab mekatronikk/el.kraft (32)
