Subject,Start Date,Start Time,End Date,End Time,Description,Location
DAT219/Forel/02 uke 2-11,2015-01-29,10:15,2015-01-29,12:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/labøv/02 uke 2-19,2015-01-29,12:15,2015-01-29,14:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
MA-155/Forel/Øv/01/Økonomi,2015-01-30,14:15,2015-01-30,16:00,Aas-Laland Yvonne Kathrine,CG-C2 036 auditorium (300), CG-C4 055 auditorium (60)
DAT219/Forel/01 uke 2-11,2015-02-02,12:15,2015-02-02,14:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/labøv/01 uke 2-19,2015-02-02,14:15,2015-02-02,16:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT202/labøv/01,2015-02-03,08:15,2015-02-03,12:00,Snaprud Mikael, Øysæd Hallvard,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
MA-155/Forel/01/Stat - Streaming,2015-02-03,12:15,2015-02-03,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300), CG-C2 041 auditorium (80)
DAT202/Forel/02,2015-02-03,14:15,2015-02-03,16:00,Snaprud Mikael, Øysæd Hallvard,CG-C2 040 auditorium (80)
DAT202/Forel/01,2015-02-04,10:15,2015-02-04,12:00,Snaprud Mikael, Øysæd Hallvard,CG-C2 041 auditorium (80)
MA-155/Forel/02/Stat - Streaming,2015-02-04,12:15,2015-02-04,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300), CG-C2 041 auditorium (80)
MA-155/Øv/01 DATA,2015-02-04,14:15,2015-02-04,16:00,Nyberg Svein O.,CG-A2 046 klasserom, CG-A2 047 klasserom
DAT219/Forel/02 uke 2-11,2015-02-05,10:15,2015-02-05,12:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/labøv/02 uke 2-19,2015-02-05,12:15,2015-02-05,14:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
MA-155/Forel/Øv/01/Økonomi,2015-02-06,14:15,2015-02-06,16:00,Aas-Laland Yvonne Kathrine,CG-C2 036 auditorium (300), CG-C4 055 auditorium (60)
DAT219/Forel/01 uke 2-11,2015-02-09,12:15,2015-02-09,14:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/labøv/01 uke 2-19,2015-02-09,14:15,2015-02-09,16:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT202/labøv/01,2015-02-10,08:15,2015-02-10,12:00,Snaprud Mikael, Øysæd Hallvard,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
MA-155/Forel/01/Stat - Streaming,2015-02-10,12:15,2015-02-10,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300), CG-C2 041 auditorium (80)
DAT202/Forel/02,2015-02-10,14:15,2015-02-10,16:00,Snaprud Mikael, Øysæd Hallvard,CG-C2 040 auditorium (80)
DAT202/Forel/01,2015-02-11,10:15,2015-02-11,12:00,Snaprud Mikael, Øysæd Hallvard,CG-C2 041 auditorium (80)
MA-155/Forel/02/Stat - Streaming,2015-02-11,12:15,2015-02-11,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300), CG-C2 041 auditorium (80)
MA-155/Øv/01 DATA,2015-02-11,14:15,2015-02-11,16:00,Nyberg Svein O.,CG-A2 046 klasserom, CG-A2 047 klasserom
DAT219/Forel/02 uke 2-11,2015-02-12,10:15,2015-02-12,12:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/labøv/02 uke 2-19,2015-02-12,12:15,2015-02-12,14:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
MA-155/Forel/Øv/01/Økonomi,2015-02-13,14:15,2015-02-13,16:00,Aas-Laland Yvonne Kathrine,CG-C2 036 auditorium (300), CG-C4 055 auditorium (60)
DAT219/Forel/01 uke 2-11,2015-02-16,12:15,2015-02-16,14:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/labøv/01 uke 2-19,2015-02-16,14:15,2015-02-16,16:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT202/labøv/01,2015-02-17,08:15,2015-02-17,12:00,Snaprud Mikael, Øysæd Hallvard,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
MA-155/Forel/01/Stat - Streaming,2015-02-17,12:15,2015-02-17,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300), CG-C2 041 auditorium (80)
DAT202/Forel/02,2015-02-17,14:15,2015-02-17,16:00,Snaprud Mikael, Øysæd Hallvard,CG-C2 040 auditorium (80)
