Subject,Start Date,Start Time,End Date,End Time,Description,Location
-MA-422 for,2015-01-07,09:15,2015-01-07,14:00,Hundeland Per Sigurd, Nilsen Hans Kristian,CK I1 002 sem
-MA-422 for,2015-01-08,09:15,2015-01-08,13:00,Hundeland Per Sigurd, Nilsen Hans Kristian,CK I1 002 sem
-MA-422 for,2015-01-14,09:15,2015-01-14,14:00,Hundeland Per Sigurd, Nilsen Hans Kristian,CK I1 002 sem
-MA-422 for,2015-01-15,09:15,2015-01-15,13:00,Hundeland Per Sigurd, Nilsen Hans Kristian,CK I1 002 sem
-MA-422 for,2015-01-21,09:15,2015-01-21,14:00,Hundeland Per Sigurd, Nilsen Hans Kristian,CK I1 002 sem
-MA-422 for,2015-01-22,09:15,2015-01-22,13:00,Hundeland Per Sigurd, Nilsen Hans Kristian,CK I1 002 sem
-MA-422 for,2015-01-28,09:15,2015-01-28,14:00,Hundeland Per Sigurd, Nilsen Hans Kristian,CK I1 002 sem
-MA-422 for,2015-01-29,09:15,2015-01-29,13:00,Hundeland Per Sigurd, Nilsen Hans Kristian,CK I1 002 sem
-MA-422 for,2015-02-04,09:15,2015-02-04,14:00,Hundeland Per Sigurd, Nilsen Hans Kristian,CK I1 002 sem
-MA-422 for,2015-02-05,09:15,2015-02-05,13:00,Hundeland Per Sigurd, Nilsen Hans Kristian,CK I1 002 sem
-MA-422 for,2015-02-11,09:15,2015-02-11,14:00,Hundeland Per Sigurd, Nilsen Hans Kristian,CK I1 002 sem
-MA-422 for,2015-02-12,09:15,2015-02-12,13:00,Hundeland Per Sigurd, Nilsen Hans Kristian,CK I1 002 sem
-MA-422 for,2015-03-18,09:15,2015-03-18,14:00,Hundeland Per Sigurd, Nilsen Hans Kristian,CK I1 002 sem
-MA-422 for,2015-03-19,09:15,2015-03-19,13:00,Hundeland Per Sigurd, Nilsen Hans Kristian,CK I1 002 sem
-MA-422 for,2015-03-25,09:15,2015-03-25,14:00,Hundeland Per Sigurd, Nilsen Hans Kristian,CK I1 002 sem
-MA-422 for,2015-03-26,09:15,2015-03-26,13:00,Hundeland Per Sigurd, Nilsen Hans Kristian,CK I1 002 sem
-MA-422 for,2015-04-08,09:15,2015-04-08,14:00,Hundeland Per Sigurd, Nilsen Hans Kristian,CK I1 002 sem
-MA-422 for,2015-04-09,09:15,2015-04-09,13:00,Hundeland Per Sigurd, Nilsen Hans Kristian,CK I1 002 sem
-MA-422 for,2015-04-15,09:15,2015-04-15,14:00,Hundeland Per Sigurd, Nilsen Hans Kristian,CK I1 002 sem
-MA-422 for,2015-04-16,09:15,2015-04-16,13:00,Hundeland Per Sigurd, Nilsen Hans Kristian,CK I1 002 sem
-MA-422 for,2015-04-22,09:15,2015-04-22,14:00,Hundeland Per Sigurd, Nilsen Hans Kristian,CK I1 002 sem
-MA-422 for,2015-04-23,09:15,2015-04-23,13:00,Hundeland Per Sigurd, Nilsen Hans Kristian,CK I1 002 sem
-MA-422 for,2015-04-29,09:15,2015-04-29,14:00,Hundeland Per Sigurd, Nilsen Hans Kristian,CK I1 002 sem
-MA-422 for,2015-04-30,09:15,2015-04-30,13:00,Hundeland Per Sigurd, Nilsen Hans Kristian,CK I1 002 sem
-MA-422 for,2015-05-06,09:15,2015-05-06,14:00,Hundeland Per Sigurd, Nilsen Hans Kristian,CK I1 002 sem
-MA-422 for,2015-05-07,09:15,2015-05-07,13:00,Hundeland Per Sigurd, Nilsen Hans Kristian,CK I1 002 sem
